ticker_id,company_id,ticker
1030,551,SCAR3
1031,551,SCAR4
1032,552,SMTO3
1033,553,SLED3
1034,553,SLED4
1035,554,PSEG3
1036,554,PSEG4
1037,555,VAGV3
1038,555,VAGV4
1039,556,SCLO3
1040,556,SCLO4
1041,1134,SLBG34
1042,557,SHUL3
1043,557,SHUL4
1044,558,SALM3
1045,558,SALM4
1046,559,SEBB3
1047,559,SEBB4
1048,559,SEBB11
1049,560,CSAB3
1050,560,CSAB4
1051,561,CSMB3
1052,561,CSMB4
1053,562,SEMP3
1054,563,SNSL3
1055,564,SEER3
1056,565,SGEN3
1057,565,SGEN4
1058,566,SHAP4
1059,567,SHTM3
1060,567,SHTM4
1061,568,SIBR7
1062,569,ANO5
1063,570,CSNA3
1064,1135,SID
1065,571,RIO4
1066,572,CSTB3
1067,572,CSTB4
1068,573,SSBR3
1069,574,SIFC4
1070,575,SLCE3
1071,576,SMLE3
1072,577,SFSA3
1073,577,SFSA4
1074,578,SLAL4
1075,579,SLBR3
1076,579,SLBR4
1077,580,SOND3
1078,580,SOND5
1079,580,SOND6
1080,581,PVLT3
1081,582,CRUZ3
1082,583,SPEL3
1083,583,SPEL5
1084,584,SPRI3
1085,584,SPRI5
1086,584,SPRI6
1087,585,SGPS3
1088,586,BFCV4
1089,587,AHEB3
1090,587,AHEB5
1091,587,AHEB6
1092,1136,SBUB34
1093,588,SUBA3
1094,589,BFIT3
1095,589,BFIT4
1096,590,SASG3
1097,591,SULA3
1098,591,SULA4
1099,591,SULA11
1100,592,SLCP3
1101,593,SULT3
1102,593,SULT4
1103,594,NEMO3
1104,594,NEMO5
1105,595,SUZB3
1106,595,SUZB5
1107,595,SUZB6
1108,596,SAD4
1109,597,TAEE3
1110,597,TAEE4
1111,597,TAEE11
1112,598,TAMM3
1113,598,TAMM4
1115,599,TAMR4
1116,600,TRPN3
1117,601,TENE3
1118,601,TENE5
1119,601,TENE6
1120,601,TENE7
1121,602,SJOS3
1122,602,SJOS4
1123,603,TECN3
1124,604,TCHN3
1125,604,TCHN4
1126,605,TCSA3
1127,606,TCNO3
1128,606,TCNO4
1129,607,TOYB3
1130,607,TOYB4
1131,608,TGMA3
1132,609,TEKA3
1133,609,TEKA4
1134,610,TKNO3
1135,610,TKNO4
1136,611,TBCP4
1137,612,TCOC3
1138,612,TCOC4
1140,613,TLCP3
1142,613,TLCP4
1143,614,TNEP3
1145,614,TNEP4
1146,615,TNCP3
1148,615,TNCP4
1149,616,TSEP3
1150,616,TSEP4
1152,617,TEBA3
1153,617,TEBA5
1154,617,TEBA6
1155,618,TBAC3
1156,618,TBAC6
1157,619,TELB3
1158,619,TELB4
1162,621,TBRS3
1163,621,TBRS4
1164,622,VIVT3
1165,622,VIVT4
1166,1137,VIV
1167,1138,TEFC11
1168,623,TDBH3
1169,623,TDBH4
1170,624,TNLP3
1171,624,TNLP4
1173,625,TMAR3
1174,625,TMAR5
1175,625,TMAR6
1176,626,TMGR3
1177,626,TMGR6
1178,627,TMGC3
1179,627,TMGC6
1180,627,TMGC7
1181,627,TMGC8
1182,627,TMGC11
1183,627,TMGC12
1184,627,TMGC13
1185,628,TMCP3
1187,628,TMCP4
1188,629,TRJC6
1189,630,TSPC3
1190,630,TSPC6
1191,631,TLPP3F
1192,631,TLPP4F
1193,632,TETE3
1194,632,TETE6
1195,633,TEMP3
1196,634,TEND3
1197,635,TERI3
1198,636,TXRX3
1199,636,TXRX4
1200,1139,TGLT32
1201,637,TARP11
1202,638,TPEC3B
1203,638,TPEC6B
1204,638,TPEC7B
1205,638,TPEC8B
1206,1140,TSU
1207,639,TIMP3
1209,639,TCSL4
1210,640,TPRC3
1211,640,TPRC6
1212,641,SHOW3
1213,1142,TWXB34
1214,642,TVIT3
1215,643,TOTS3
1216,644,TBLE3
1217,644,TBLE5
1218,644,TBLE6
1219,645,TRFO3
1220,645,TRFO4
